DrawDate,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Ball 6,Bonus Ball,Ball Set,Machine,Raffles,DrawNumber
20-Jun-2018,43,22,15,35,26,41,1,8,Merlin,"GOLD12526245;AQUA97495745,BLUE01417117,GOLD89731426,GREY20602990,GREY48616984,JADE28385347,LIME65430499,LIME79828572,NAVY45585288,NAVY47703945,NAVY52785588,PINK30164254,PINK38575392,PINK63989066,PLUM63345592,ROSE67347307,ROSE87550242,RUBY10497179,TEAL31442346,TEAL53122229",2347
16-Jun-2018,41,10,37,36,46,18,8,5,Merlin,"GOLD48493816;AQUA39472727,GOLD14745776,GOLD72848887,GOLD88959648,GOLD89656908,GREY46408047,JADE22037015,JADE78024836,PINK07620056,PINK44920309,PLUM26554873,PLUM34305240,PLUM36761266,PLUM67456421,PLUM86920242,ROSE13214956,ROSE37998106,ROSE38730193,RUBY03110459,RUBY19785006",2346
13-Jun-2018,38,45,33,22,5,15,11,6,Arthur,"RUBY63371165;AQUA13667644,BLUE42806008,GOLD24607520,GREY07750163,LIME08916124,LIME09927789,NAVY29285148,PINK24872978,PINK41305840,PINK49780618,PINK92088421,PLUM12961063,PLUM72602669,PLUM96458192,ROSE07785849,ROSE95383684,RUBY33523039,RUBY58821923,RUBY87953617,TEAL32852586",2345
09-Jun-2018,17,58,55,20,3,56,57,8,Arthur,"JADE47279723;BLUE43523865,BLUE65743059,BLUE82510848,GOLD60594148,GOLD84319770,JADE16092906,JADE87138190,LIME09442179,LIME25966999,LIME47808836,NAVY00089556,NAVY20664610,PINK22279267,PINK84531848,PLUM89054057,ROSE64513343,TEAL37136848,TEAL43852043,TEAL48568455,TEAL95125765",2344
06-Jun-2018,22,35,58,42,12,31,55,5,Arthur,"PLUM26010930;AQUA12865963,AQUA33279733,AQUA34651532,AQUA92284970,GOLD56987906,GOLD71509064,GREY33850951,JADE16177775,JADE50384710,NAVY18284830,PINK70770995,PLUM17526288,PLUM42362906,RUBY07244833,RUBY17147868,RUBY43808215,TEAL19506952,TEAL28162001,TEAL97344559,TEAL98872557",2343
02-Jun-2018,58,4,43,32,51,38,10,6,Arthur,"JADE45696808;AQUA03006214,AQUA44709447,AQUA68298965,GOLD61915305,GOLD86271136,GREY58782392,GREY76469212,JADE19813487,JADE55872294,LIME50651859,LIME60411184,NAVY29557355,NAVY48059788,PINK25443425,PINK26781499,PINK98533950,PLUM64842282,ROSE26390895,ROSE68488352,RUBY05309589",2342
30-May-2018,32,8,4,5,26,39,16,5,Arthur,"AQUA29109850;AQUA37394134,AQUA63879181,AQUA88316458,GOLD08926911,JADE39941307,LIME02869585,NAVY21639216,NAVY27297453,PINK58016318,PLUM06656222,PLUM58567450,PLUM74348813,PLUM87060165,ROSE00808465,ROSE59777645,ROSE93123725,RUBY26662235,RUBY44750951,RUBY49520494,TEAL69702994",2341
26-May-2018,40,14,19,29,9,39,3,7,Arthur,"ROSE67088878;AQUA52323250,GOLD08172837,GOLD12872445,GOLD85386457,GOLD98666672,GREY11155712,GREY30235628,GREY33982570,GREY48511462,GREY50131988,JADE00486110,JADE59270248,NAVY47653157,PINK56033412,PINK74201732,PLUM55422612,ROSE01840861,RUBY80847815,TEAL75267301,TEAL96286552",2340
23-May-2018,45,1,17,32,36,15,5,8,Arthur,"TEAL38887781;AQUA95099271,BLUE62186020,GOLD07884236,GOLD61927120,GOLD94686464,GREY48600118,GREY64247649,PINK46654384,PLUM14246665,PLUM14282880,PLUM48407345,PLUM86329316,ROSE00366121,RUBY12029876,RUBY34096180,RUBY81060621,TEAL29970484,TEAL46409145,TEAL50376103,TEAL93875705",2339
19-May-2018,48,52,1,34,36,3,22,6,Arthur,"RUBY06427392;AQUA51374592,AQUA60795050,BLUE95223567,GOLD11599583,GREY12960409,GREY40043706,JADE70557163,LIME63103863,NAVY24237259,NAVY68313501,NAVY82478156,PINK06869659,PINK23399274,PINK86765829,PLUM73710384,RUBY43429508,RUBY67612681,RUBY79256745,TEAL18898073,TEAL23576674",2338
16-May-2018,22,48,54,32,4,26,57,7,Arthur,"RUBY11939325;AQUA15110005,AQUA69719386,BLUE36056624,BLUE72068542,GOLD08615446,GOLD49754493,JADE61870939,LIME92925764,NAVY54846901,PINK15282902,PINK73478371,PLUM20155124,PLUM23461303,PLUM41527323,PLUM50774313,ROSE11045725,ROSE60934324,ROSE67276839,ROSE71015388,RUBY41174038",2337
12-May-2018,35,1,30,21,15,44,5,8,Arthur,"PLUM39582466;AQUA64414282,BLUE20849702,BLUE52813078,GOLD18096101,GREY67075182,GREY77787476,JADE40487207,LIME53447259,LIME73648561,NAVY41568802,PINK22620384,PINK98848473,PLUM18718182,PLUM65429623,ROSE50443966,ROSE78688353,RUBY14745247,RUBY26205091,RUBY58705571,RUBY97543340",2336
09-May-2018,18,25,59,30,56,21,5,6,Arthur,"PLUM67245758;AQUA65284509,AQUA76095491,GOLD92608803,GREY04508527,GREY51276681,GREY56517240,GREY87558017,GREY91321950,GREY98146920,JADE45776589,JADE64895694,LIME90625774,NAVY03083602,NAVY17928369,PINK13764946,PLUM69532561,ROSE21508470,RUBY30884364,RUBY73346538,TEAL06009372",2335
05-May-2018,2,9,52,56,14,49,41,6,Merlin,"JADE84928383;AQUA13323062,BLUE63874224,GOLD62758862,GOLD96889547,GREY10091764,JADE06092442,JADE51730258,LIME09044469,LIME60782884,LIME96560771,NAVY11794785,NAVY70797622,PINK85263393,PLUM33305482,PLUM80179065,PLUM86909860,ROSE17585044,ROSE89128195,RUBY47907198,TEAL63708848",2334
02-May-2018,48,4,26,10,8,38,41,5,Merlin,"GOLD13356381;AQUA05065035,AQUA71171119,GOLD03130594,GOLD72581088,GREY25090806,GREY94136516,JADE83275490,LIME26792691,LIME49917584,LIME57597394,NAVY19449239,NAVY78277921,PLUM71171368,ROSE41989687,RUBY01280128,RUBY06637574,RUBY08729806,RUBY59264187,RUBY91649259,TEAL93979598",2333
28-Apr-2018,38,43,11,44,3,37,20,8,Arthur,"BLUE88654078;AQUA47614838,AQUA89096987,BLUE35403427,GOLD12381916,GREY07103437,GREY26388475,GREY51088932,GREY89837436,JADE65979796,LIME23358302,PINK17854586,PINK85743258,PLUM26610492,PLUM52891045,ROSE05237887,ROSE22007127,ROSE65329206,ROSE71476750,TEAL13294813,TEAL70019751",2332
25-Apr-2018,41,18,50,14,40,5,12,7,Merlin,"LIME86267592;AQUA50066223,AQUA68083175,AQUA81075071,BLUE78855866,BLUE91168787,GOLD38100539,GREY28143709,GREY35203921,GREY50414353,GREY70049162,GREY70860636,JADE76764690,LIME55063218,NAVY57671082,PINK38513365,PINK50147566,PINK53937738,RUBY54048073,RUBY97906446,TEAL57249167",2331
21-Apr-2018,57,12,9,8,20,2,38,5,Arthur,"RUBY32206547;AQUA02027475,BLUE16393476,BLUE24263687,BLUE38985008,BLUE57321629,BLUE76531422,GOLD30869940,GOLD32944549,GOLD72109732,GREY45472489,JADE80275945,NAVY60716669,PLUM17279238,PLUM25186219,PLUM80981320,RUBY18907261,RUBY33883999,RUBY73394173,RUBY91816217,RUBY96543432",2330
18-Apr-2018,59,39,41,4,21,11,58,7,Arthur,"RUBY33896237;AQUA36048318,BLUE17083015,BLUE85829751,BLUE85969368,BLUE98708477,GOLD10225027,GREY47943253,LIME46511637,LIME47015210,LIME51585751,LIME94320423,PINK84561631,PLUM05948389,PLUM19880809,PLUM30157446,PLUM69560107,ROSE94452494,TEAL46834983,TEAL68650698,TEAL97243738",2329
